Song,Artist,Release Date,Issue Date,Weeks,Avs.
"Starboy",The WeekndfeaturingDaft Punk,21 September 2016,29 December 2016,2,25.5
"Shape of You" ‡,Ed Sheeran,6 January 2017,12 January 2017,14,51.9
"Humble",Kendrick Lamar,30 March 2017,20 April 2017,1,41.4
"Despacito (remix)",Luis FonsifeaturingDaddy YankeeandJustin Bieber,17 April 2017,27 April 2017,14,45.9
"Mi Gente",J BalvinfeaturingWilly William,30 June 2017,3 August 2017,4,32.1
"Look What You Made Me Do",Taylor Swift,24 August 2017,31 August 2017,2,39.8
"Too Good at Goodbyes",Sam Smith,8 September 2017,14 September 2017,1,30.7
"Rockstar",Post Malonefeaturing21 Savage,15 September 2017,21 September 2017,17,38.6
"Havana",Camila CabellofeaturingYoung Thug,3 August 2017,18 January 2018,1,30.9
"God's Plan"  ‡,Drake,19 January 2018,25 January 2018,10,48.8
"Call Out My Name",The Weeknd,30 March 2018,5 April 2018,1,40.6
"God's Plan" ‡(2),Drake,19 January 2018,12 April 2018,1,37.5
"Nice for What",Drake,6 April 2018,19 April 2018,2,40.7
"Better Now",Post Malone,27 April 2018,3 May 2018,2,38.2
"This Is America",Childish Gambino,5 May 2018,17 May 2018,1,34.9
"Better Now"(2),Post Malone,27 April 2018,24 May 2018,4,30.2
"Nonstop",Drake,29 June 2018,5 July 2018,1,43.7
"In My Feelings",Drake,29 June 2018,12 July 2018,8,51.5
"Lucky You",EminemfeaturingJoyner Lucas,31 August 2018,6 September 2018,1,34.9
"I Love It",Kanye WestfeaturingLil Pump,7 September 2018,13 September 2018,3,32.9
"Taki Taki",DJ SnakefeaturingSelena Gomez,OzunaandCardi B,28 September 2018,4 October 2018,2,31.3
"Mia",Bad BunnyfeaturingDrake,12 October 2018,18 October 2018,1,39.6
"Taki Taki"(2),DJ SnakefeaturingSelena Gomez,OzunaandCardi B,28 September 2018,25 October 2018,2,40.5
"Thank U, Next",Ariana Grande,3 November 2018,8 November 2018,7,46.0
